"date","site","concentration","abs","soil_g_dry","extractant_ml","mgNO3_L","mgNO3_kg_soil"
"10/16/25","Elyria",NA,1.4918,1.7599,15,2.13524914924007,18.1991802026258
"10/16/25","Ballona",NA,2.0481,1.7643,15,3.05611019996793,25.9829127696644
"10/16/25","Ballona",NA,2.0488,1.7643,15,3.05726893219067,25.9927642594003
"10/16/25","Ballona",NA,1.9476,1.7643,15,2.8897493594176,24.568520314722
"10/16/25","Ballona",NA,2.1501,1.7643,15,3.22495403813841,27.4184155597553
"10/16/25","Ballona",NA,2.0948,1.7643,15,3.13341419254206,26.6401478706178
"10/16/25","Ballona",NA,2.1472,1.7643,15,3.22015357607278,27.377602245135
"10/16/25","Ballona",NA,2.0019,1.7643,15,2.97963387326718,25.3327144470938
"10/16/25","Ballona",NA,2.2867,1.7643,15,3.45107235474712,29.3408634139357
"10/16/25","BigRock",NA,2.5194,1.6275,15,3.83626805222038,35.3573092370542
"10/16/25","BigRock",NA,2.3849,1.6275,15,3.61362593227988,33.3053081316118
"10/16/25","BigRock",NA,2.4847,1.6275,15,3.77882804060748,34.8279082083638
"10/16/25","BigRock",NA,1.6266,1.6275,15,2.3583878687046,21.7362937207797
"10/16/25","BigRock",NA,1.993,1.6275,15,2.96490142072093,27.3262803753081
"10/16/25","BigRock",NA,2.8173,1.6275,15,4.329391379583,39.9022246966175
"10/16/25","BigRock",NA,1.619,1.6275,15,2.34580734742915,21.6203442159369
"10/16/25","BigRock",NA,2.4654,1.6275,15,3.74688013789482,34.5334574921182
"10/16/25","Arroyo",NA,0.3572,1.6851,15,0.257109749355437,2.28867499871317
"10/16/25","Arroyo",NA,0.9259,1.6851,15,1.19849691374323,10.6684788476343
"10/16/25","Arroyo",NA,0.3421,1.6851,15,0.232114239979218,2.06617625048263
"10/16/25","Arroyo",NA,0.4192,1.6851,15,0.359740317655144,3.2022460179379
"10/16/25","Arroyo",NA,1.0104,1.6851,15,1.33837244634525,11.9135877367389
"10/16/25","Arroyo",NA,0.3833,1.6851,15,0.30031390794612,2.6732589277739
"10/16/25","Arroyo",NA,1.0082,1.6851,15,1.33473071650236,11.8811707005729
"10/16/25","Arroyo",NA,0.3756,1.6851,15,0.287567853495996,2.55979930119277
"10/16/25","Hills",NA,1.993,1.8274,15,2.96490142072093,24.3370478881547
"10/16/25","Hills",NA,3.6374,1.8274,15,5.68692894510864,46.6804936941171
"10/16/25","Hills",NA,1.8493,1.8274,15,2.72703024871016,22.3845100857242
"10/16/25","Hills",NA,3.7521,1.8274,15,5.8767954964631,48.2389911606361
"10/16/25","Hills",NA,3.6001,1.8274,15,5.62518507095414,46.1736762965481
"10/16/25","Hills",NA,3.4722,1.8274,15,5.41346814054232,44.4358225392004
"10/16/25","Hills",NA,2.4206,1.8274,15,3.67272127563955,30.1471047031812
"10/16/25","Hills",NA,3.2971,1.8274,15,5.12361955168299,42.0566341661622
"10/16/25","Harmon",NA,2.8957,1.7333,15,4.45916938852973,38.5897079720452
"10/16/25","Harmon",NA,3.009,1.7333,15,4.64671847543871,40.2127601289913
"10/16/25","Harmon",NA,2.1394,1.7333,15,3.20724198844798,27.7555125060403
"10/16/25","Harmon",NA,2.7388,1.7333,15,4.1994478374616,36.3420744025408
"10/16/25","Harmon",NA,3.1811,1.7333,15,4.93160106905773,42.6781376771857
"10/16/25","Harmon",NA,2.8615,1.7333,15,4.40255704279021,38.0997840199926
"10/16/25","Harmon",NA,2.7094,1.7333,15,4.15078108410657,35.9209117069166
"10/16/25","Harmon",NA,3.0884,1.7333,15,4.7781518161322,41.3501859124116
"10/16/25","Willoughby",NA,1.0283,1.7372,15,1.36800288461243,11.8121363511319
"10/16/25","Willoughby",NA,0.9219,1.7372,15,1.19187558675615,10.2913503346433
"10/16/25","Willoughby",NA,0.9305,1.7372,15,1.20611143977837,10.4142710089083
"10/16/25","Willoughby",NA,0.4693,1.7372,15,0.442672438168294,3.82229252390307
"10/16/25","Willoughby",NA,0.6111,1.7372,15,0.677398479860205,5.84905433911068
"10/16/25","Willoughby",NA,0.9006,1.7372,15,1.15661702054996,9.98690726931238
"10/16/25","Willoughby",NA,0.5521,1.7372,15,0.579733906800806,5.00576134124574
"10/16/25","Willoughby",NA,1.0087,1.7372,15,1.33555838237574,11.5319915586209
