date,site,concentration,abs,soil_g_dry,extractant_ml
10/16/25,Arroyo,,0.3421,1.6851,15
10/16/25,Arroyo,,0.4192,1.6851,15
10/16/25,Arroyo,,1.0104,1.6851,15
10/16/25,Arroyo,,0.3833,1.6851,15
10/16/25,Arroyo,,1.0082,1.6851,15
10/16/25,Arroyo,,0.3756,1.6851,15
10/16/25,Hills,,1.993,1.8274,15
10/16/25,Hills,,3.6374,1.8274,15
10/16/25,Hills,,1.8493,1.8274,15
10/16/25,Hills,,3.7521,1.8274,15
10/16/25,Hills,,3.6001,1.8274,15
10/16/25,Hills,,3.4722,1.8274,15
10/16/25,Hills,,2.4206,1.8274,15
10/16/25,Hills,,3.2971,1.8274,15
10/16/25,Harmon,,2.8957,1.7333,15
10/16/25,Harmon,,3.009,1.7333,15
10/16/25,Harmon,,2.1394,1.7333,15
10/16/25,Harmon,,2.7388,1.7333,15
10/16/25,Harmon,,3.1811,1.7333,15
10/16/25,Harmon,,2.8615,1.7333,15
10/16/25,Harmon,,2.7094,1.7333,15
10/16/25,Harmon,,3.0884,1.7333,15
10/16/25,Willoughby,,1.0283,1.7372,15
10/16/25,Willoughby,,0.9219,1.7372,15
10/16/25,Willoughby,,0.9305,1.7372,15
10/16/25,Willoughby,,0.4693,1.7372,15
10/16/25,Willoughby,,0.6111,1.7372,15
10/16/25,Willoughby,,0.9006,1.7372,15
10/16/25,Willoughby,,0.5521,1.7372,15
10/16/25,Willoughby,,1.0087,1.7372,15
